step	semantic_branch_name	runtime_name	env_name	should_we_do_it
INSTALL_DEPENDENCIES	cleanup	local	devops	
INSTALL_DEPENDENCIES	cleanup	local	sbx	
INSTALL_DEPENDENCIES	cleanup	local	tst	
INSTALL_DEPENDENCIES	cleanup	local	stg	
INSTALL_DEPENDENCIES	cleanup	local	prd	
INSTALL_DEPENDENCIES	cleanup	ci	devops	
INSTALL_DEPENDENCIES	cleanup	ci	sbx	
INSTALL_DEPENDENCIES	cleanup	ci	tst	
INSTALL_DEPENDENCIES	cleanup	ci	stg	
INSTALL_DEPENDENCIES	cleanup	ci	prd	
DEPLOY_CONFIG	main	local	devops	
DEPLOY_CONFIG	main	local	sbx	
DEPLOY_CONFIG	main	local	tst	
DEPLOY_CONFIG	main	local	stg	
DEPLOY_CONFIG	main	local	prd	
DEPLOY_CONFIG	main	ci	devops	
DEPLOY_CONFIG	main	ci	sbx	
DEPLOY_CONFIG	main	ci	tst	
DEPLOY_CONFIG	main	ci	stg	
DEPLOY_CONFIG	main	ci	prd	
DEPLOY_CONFIG	feature	local	devops	
DEPLOY_CONFIG	feature	local	sbx	
DEPLOY_CONFIG	feature	local	tst	
DEPLOY_CONFIG	feature	local	stg	
DEPLOY_CONFIG	feature	local	prd	
DEPLOY_CONFIG	feature	ci	devops	
DEPLOY_CONFIG	feature	ci	sbx	
DEPLOY_CONFIG	feature	ci	tst	
DEPLOY_CONFIG	feature	ci	stg	
DEPLOY_CONFIG	feature	ci	prd	
DEPLOY_CONFIG	fix	local	devops	
DEPLOY_CONFIG	fix	local	sbx	
DEPLOY_CONFIG	fix	local	tst	
DEPLOY_CONFIG	fix	local	stg	
DEPLOY_CONFIG	fix	local	prd	
DEPLOY_CONFIG	fix	ci	devops	
DEPLOY_CONFIG	fix	ci	sbx	
DEPLOY_CONFIG	fix	ci	tst	
DEPLOY_CONFIG	fix	ci	stg	
DEPLOY_CONFIG	fix	ci	prd	
DEPLOY_CONFIG	doc	local	devops	
DEPLOY_CONFIG	doc	local	sbx	
DEPLOY_CONFIG	doc	local	tst	
DEPLOY_CONFIG	doc	local	stg	
DEPLOY_CONFIG	doc	local	prd	
DEPLOY_CONFIG	doc	ci	devops	
DEPLOY_CONFIG	doc	ci	sbx	
DEPLOY_CONFIG	doc	ci	tst	
DEPLOY_CONFIG	doc	ci	stg	
DEPLOY_CONFIG	doc	ci	prd	
DEPLOY_CONFIG	app	local	devops	
DEPLOY_CONFIG	app	local	sbx	
DEPLOY_CONFIG	app	local	tst	
DEPLOY_CONFIG	app	local	stg	
DEPLOY_CONFIG	app	local	prd	
DEPLOY_CONFIG	app	ci	devops	
DEPLOY_CONFIG	app	ci	sbx	
DEPLOY_CONFIG	app	ci	tst	
DEPLOY_CONFIG	app	ci	stg	
DEPLOY_CONFIG	app	ci	prd	
DEPLOY_CONFIG	release	local	devops	
DEPLOY_CONFIG	release	local	sbx	
DEPLOY_CONFIG	release	local	tst	
DEPLOY_CONFIG	release	local	stg	
DEPLOY_CONFIG	release	local	prd	
DEPLOY_CONFIG	release	ci	devops	
DEPLOY_CONFIG	release	ci	sbx	
DEPLOY_CONFIG	release	ci	tst	
DEPLOY_CONFIG	release	ci	stg	
DEPLOY_CONFIG	release	ci	prd	
DEPLOY_CONFIG	cleanup	local	devops	
DEPLOY_CONFIG	cleanup	local	sbx	
DEPLOY_CONFIG	cleanup	local	tst	
DEPLOY_CONFIG	cleanup	local	stg	
DEPLOY_CONFIG	cleanup	local	prd	
DEPLOY_CONFIG	cleanup	ci	devops	
DEPLOY_CONFIG	cleanup	ci	sbx	
DEPLOY_CONFIG	cleanup	ci	tst	
DEPLOY_CONFIG	cleanup	ci	stg	
DEPLOY_CONFIG	cleanup	ci	prd	
RUN_CODE_COVERAGE_TEST	main	local	devops	
RUN_CODE_COVERAGE_TEST	main	local	sbx	
RUN_CODE_COVERAGE_TEST	main	local	tst	
RUN_CODE_COVERAGE_TEST	main	local	stg	
RUN_CODE_COVERAGE_TEST	main	local	prd	
RUN_CODE_COVERAGE_TEST	main	ci	devops	
RUN_CODE_COVERAGE_TEST	main	ci	sbx	
RUN_CODE_COVERAGE_TEST	main	ci	tst	
RUN_CODE_COVERAGE_TEST	main	ci	stg	
RUN_CODE_COVERAGE_TEST	main	ci	prd	
RUN_CODE_COVERAGE_TEST	feature	local	devops	
RUN_CODE_COVERAGE_TEST	feature	local	sbx	
RUN_CODE_COVERAGE_TEST	feature	local	tst	
RUN_CODE_COVERAGE_TEST	feature	local	stg	
RUN_CODE_COVERAGE_TEST	feature	local	prd	
RUN_CODE_COVERAGE_TEST	feature	ci	devops	
RUN_CODE_COVERAGE_TEST	feature	ci	sbx	
RUN_CODE_COVERAGE_TEST	feature	ci	tst	
RUN_CODE_COVERAGE_TEST	feature	ci	stg	
RUN_CODE_COVERAGE_TEST	feature	ci	prd	
RUN_CODE_COVERAGE_TEST	fix	local	devops	
RUN_CODE_COVERAGE_TEST	fix	local	sbx	
RUN_CODE_COVERAGE_TEST	fix	local	tst	
RUN_CODE_COVERAGE_TEST	fix	local	stg	
RUN_CODE_COVERAGE_TEST	fix	local	prd	
RUN_CODE_COVERAGE_TEST	fix	ci	devops	
RUN_CODE_COVERAGE_TEST	fix	ci	sbx	
RUN_CODE_COVERAGE_TEST	fix	ci	tst	
RUN_CODE_COVERAGE_TEST	fix	ci	stg	
RUN_CODE_COVERAGE_TEST	fix	ci	prd	
RUN_CODE_COVERAGE_TEST	doc	local	devops	
RUN_CODE_COVERAGE_TEST	doc	local	sbx	
RUN_CODE_COVERAGE_TEST	doc	local	tst	
RUN_CODE_COVERAGE_TEST	doc	local	stg	
RUN_CODE_COVERAGE_TEST	doc	local	prd	
RUN_CODE_COVERAGE_TEST	doc	ci	devops	
RUN_CODE_COVERAGE_TEST	doc	ci	sbx	
RUN_CODE_COVERAGE_TEST	doc	ci	tst	
RUN_CODE_COVERAGE_TEST	doc	ci	stg	
RUN_CODE_COVERAGE_TEST	doc	ci	prd	
RUN_CODE_COVERAGE_TEST	app	local	devops	
RUN_CODE_COVERAGE_TEST	app	local	sbx	
RUN_CODE_COVERAGE_TEST	app	local	tst	
RUN_CODE_COVERAGE_TEST	app	local	stg	
RUN_CODE_COVERAGE_TEST	app	local	prd	
RUN_CODE_COVERAGE_TEST	app	ci	devops	
RUN_CODE_COVERAGE_TEST	app	ci	sbx	
RUN_CODE_COVERAGE_TEST	app	ci	tst	
RUN_CODE_COVERAGE_TEST	app	ci	stg	
RUN_CODE_COVERAGE_TEST	app	ci	prd	
RUN_CODE_COVERAGE_TEST	release	local	devops	
RUN_CODE_COVERAGE_TEST	release	local	sbx	
RUN_CODE_COVERAGE_TEST	release	local	tst	
RUN_CODE_COVERAGE_TEST	release	local	stg	
RUN_CODE_COVERAGE_TEST	release	local	prd	
RUN_CODE_COVERAGE_TEST	release	ci	devops	
RUN_CODE_COVERAGE_TEST	release	ci	sbx	
RUN_CODE_COVERAGE_TEST	release	ci	tst	
RUN_CODE_COVERAGE_TEST	release	ci	stg	
RUN_CODE_COVERAGE_TEST	release	ci	prd	
RUN_CODE_COVERAGE_TEST	cleanup	local	devops	
RUN_CODE_COVERAGE_TEST	cleanup	local	sbx	
RUN_CODE_COVERAGE_TEST	cleanup	local	tst	
RUN_CODE_COVERAGE_TEST	cleanup	local	stg	
RUN_CODE_COVERAGE_TEST	cleanup	local	prd	
RUN_CODE_COVERAGE_TEST	cleanup	ci	devops	
RUN_CODE_COVERAGE_TEST	cleanup	ci	sbx	
RUN_CODE_COVERAGE_TEST	cleanup	ci	tst	
RUN_CODE_COVERAGE_TEST	cleanup	ci	stg	
RUN_CODE_COVERAGE_TEST	cleanup	ci	prd	
BUILD_DOCUMENTATION	main	local	devops	
BUILD_DOCUMENTATION	main	local	sbx	
BUILD_DOCUMENTATION	main	local	tst	
BUILD_DOCUMENTATION	main	local	stg	
BUILD_DOCUMENTATION	main	local	prd	
BUILD_DOCUMENTATION	main	ci	devops	
BUILD_DOCUMENTATION	main	ci	sbx	
BUILD_DOCUMENTATION	main	ci	tst	
BUILD_DOCUMENTATION	main	ci	stg	
BUILD_DOCUMENTATION	main	ci	prd	
BUILD_DOCUMENTATION	feature	local	devops	
BUILD_DOCUMENTATION	feature	local	sbx	
BUILD_DOCUMENTATION	feature	local	tst	
BUILD_DOCUMENTATION	feature	local	stg	
BUILD_DOCUMENTATION	feature	local	prd	
BUILD_DOCUMENTATION	feature	ci	devops	
BUILD_DOCUMENTATION	feature	ci	sbx	
BUILD_DOCUMENTATION	feature	ci	tst	
BUILD_DOCUMENTATION	feature	ci	stg	
BUILD_DOCUMENTATION	feature	ci	prd	
BUILD_DOCUMENTATION	fix	local	devops	
BUILD_DOCUMENTATION	fix	local	sbx	
BUILD_DOCUMENTATION	fix	local	tst	
BUILD_DOCUMENTATION	fix	local	stg	
BUILD_DOCUMENTATION	fix	local	prd	
BUILD_DOCUMENTATION	fix	ci	devops	
BUILD_DOCUMENTATION	fix	ci	sbx	
BUILD_DOCUMENTATION	fix	ci	tst	
BUILD_DOCUMENTATION	fix	ci	stg	
BUILD_DOCUMENTATION	fix	ci	prd	
BUILD_DOCUMENTATION	doc	local	devops	
BUILD_DOCUMENTATION	doc	local	sbx	
BUILD_DOCUMENTATION	doc	local	tst	
BUILD_DOCUMENTATION	doc	local	stg	
BUILD_DOCUMENTATION	doc	local	prd	
BUILD_DOCUMENTATION	doc	ci	devops	
BUILD_DOCUMENTATION	doc	ci	sbx	
BUILD_DOCUMENTATION	doc	ci	tst	
BUILD_DOCUMENTATION	doc	ci	stg	
BUILD_DOCUMENTATION	doc	ci	prd	
BUILD_DOCUMENTATION	app	local	devops	
BUILD_DOCUMENTATION	app	local	sbx	
BUILD_DOCUMENTATION	app	local	tst	
BUILD_DOCUMENTATION	app	local	stg	
BUILD_DOCUMENTATION	app	local	prd	
BUILD_DOCUMENTATION	app	ci	devops	
BUILD_DOCUMENTATION	app	ci	sbx	
BUILD_DOCUMENTATION	app	ci	tst	
BUILD_DOCUMENTATION	app	ci	stg	
BUILD_DOCUMENTATION	app	ci	prd	
BUILD_DOCUMENTATION	release	local	devops	
BUILD_DOCUMENTATION	release	local	sbx	
BUILD_DOCUMENTATION	release	local	tst	
BUILD_DOCUMENTATION	release	local	stg	
BUILD_DOCUMENTATION	release	local	prd	
BUILD_DOCUMENTATION	release	ci	devops	
BUILD_DOCUMENTATION	release	ci	sbx	
BUILD_DOCUMENTATION	release	ci	tst	
BUILD_DOCUMENTATION	release	ci	stg	
BUILD_DOCUMENTATION	release	ci	prd	
BUILD_DOCUMENTATION	cleanup	local	devops	
BUILD_DOCUMENTATION	cleanup	local	sbx	
BUILD_DOCUMENTATION	cleanup	local	tst	
BUILD_DOCUMENTATION	cleanup	local	stg	
BUILD_DOCUMENTATION	cleanup	local	prd	
BUILD_DOCUMENTATION	cleanup	ci	devops	
BUILD_DOCUMENTATION	cleanup	ci	sbx	
BUILD_DOCUMENTATION	cleanup	ci	tst	
BUILD_DOCUMENTATION	cleanup	ci	stg	
BUILD_DOCUMENTATION	cleanup	ci	prd	
UPDATE_DOCUMENTATION	main	local	devops	
UPDATE_DOCUMENTATION	main	local	sbx	
UPDATE_DOCUMENTATION	main	local	tst	
UPDATE_DOCUMENTATION	main	local	stg	
UPDATE_DOCUMENTATION	main	local	prd	
